battleTime,brawler,trophies
20250528T234716.000Z,PIPER,641
20250528T234448.000Z,PIPER,641
20250528T193947.000Z,PIPER,641
20250528T193605.000Z,PIPER,641
20250527T233106.000Z,PIPER,641
20250527T232702.000Z,PIPER,641
20250527T232401.000Z,PIPER,641
20250527T160034.000Z,PIPER,641
20250526T223847.000Z,JESSIE,968
20250526T223538.000Z,JESSIE,957
20250526T223212.000Z,JESSIE,947
20250526T222916.000Z,JESSIE,947
20250526T222649.000Z,JESSIE,938
20250526T222331.000Z,JESSIE,930
20250526T164513.000Z,JESSIE,930
20250526T164249.000Z,JESSIE,930
20250526T164009.000Z,JESSIE,930
20250526T163800.000Z,JESSIE,930
20250526T002959.000Z,JESSIE,937
20250525T165846.000Z,JESSIE,944
20250525T165721.000Z,JESSIE,951
20250525T165545.000Z,JESSIE,943
20250525T165411.000Z,JESSIE,950
20250525T165244.000Z,JESSIE,941
20250525T165110.000Z,JESSIE,933
